commit_hash,date,device,test_name,status,metric,unit,min_time,max_time,avg_time,median_time,run_count,attempted,all_runs
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_notifications_response_time,passed,response_time,s,0.609,0.657,0.639,0.644,4,4,"0.641,0.647,0.657,0.609"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_syncing_response_time,passed,response_time,s,0.63,0.782,0.689,0.671,4,4,"0.63,0.782,0.697,0.645"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_browser_response_time,passed,response_time,s,0.64,0.69,0.664,0.664,4,4,"0.64,0.69,0.65,0.678"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_advanced_response_time,passed,response_time,s,0.584,0.637,0.609,0.607,4,4,"0.606,0.608,0.637,0.584"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_about_response_time,passed,response_time,s,0.621,0.643,0.636,0.64,4,4,"0.621,0.64,0.64,0.643"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_communities_response_time,passed,response_time,s,0.563,0.578,0.572,0.574,4,4,"0.578,0.573,0.563,0.575"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_keycard_response_time,passed,response_time,s,0.685,0.74,0.718,0.724,4,4,"0.74,0.685,0.717,0.731"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_privacy_response_time,passed,response_time,s,0.614,0.678,0.652,0.657,4,4,"0.653,0.662,0.614,0.678"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_password_response_time,passed,response_time,s,0.59,0.616,0.607,0.611,4,4,"0.616,0.614,0.608,0.59"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_profile_response_time,passed,response_time,s,0.574,0.625,0.595,0.591,4,4,"0.592,0.625,0.574,0.589"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_wallet_first_open,passed,response_time,s,0.623,0.623,0.623,0.623,1,1,0.623
962c77,2026-06-22T12:00:00,SM-A366B,test_android_messages_first_open,passed,response_time,s,2.208,2.208,2.208,2.208,1,1,2.208
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_first_open,passed,response_time,s,1.595,1.595,1.595,1.595,1,1,1.595
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_cold_open,passed,response_time,s,1.137,1.174,1.151,1.141,3,3,"1.141,1.174,1.137"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_appearance_cold_open,passed,response_time,s,0.584,0.635,0.61,0.611,3,3,"0.611,0.635,0.584"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_settings_messaging_response_time,passed,response_time,s,0.605,0.636,0.617,0.613,4,4,"0.605,0.636,0.616,0.611"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_wallet_receive_response_time,passed,response_time,s,0.084,0.103,0.091,0.088,4,4,"0.103,0.084,0.088,0.088"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_wallet_send_response_time,passed,response_time,s,0.646,0.706,0.682,0.689,4,4,"0.646,0.684,0.693,0.706"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_wallet_swap_response_time,passed,response_time,s,0.638,0.706,0.678,0.684,4,4,"0.682,0.686,0.638,0.706"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_wallet_buy_response_time,passed,response_time,s,0.098,0.536,0.209,0.101,4,4,"0.098,0.536,0.104,0.098"
962c77,2026-06-22T12:00:00,SM-A366B,test_android_wallet_assets_response_time,passed,response_time,s,0.636,1.099,0.773,0.679,4,4,"0.681,1.099,0.676,0.636"
