commit_hash,date,test_name,status,min_time,max_time,avg_time,run_count,all_runs
a7b15fb36,2026-02-15T05:15:49,test_swap_loading_time[wallet_load_user],passed,0.676,1.96,0.972,5,"1.96,0.762,0.676,0.755,0.706"
a7b15fb36,2026-02-15T05:15:49,test_wallet_loading_time[wallet_load_alex_user],passed,0.873,1.664,1.125,5,"1.109,1.664,1.014,0.963,0.873"
a7b15fb36,2026-02-15T05:15:49,test_swap_loading_time[wallet_load_alex_user],passed,0.892,4.168,1.681,5,"4.168,1.156,1.065,1.126,0.892"
f5e2bc313,2026-02-16T05:24:24,test_swap_loading_time[wallet_load_user],passed,1.037,2.698,1.416,5,"2.698,1.207,1.05,1.088,1.037"
f5e2bc313,2026-02-16T05:24:24,test_swap_loading_time[wallet_load_alex_user],passed,0.847,2.727,1.36,5,"2.727,1.051,1.122,0.847,1.054"
f5e2bc313,2026-02-16T05:24:24,test_wallet_loading_time[wallet_load_user],passed,0.865,1.05,0.97,5,"1.05,1.026,0.879,1.029,0.865"
f5e2bc313,2026-02-16T05:24:24,test_wallet_loading_time[wallet_load_alex_user],passed,0.856,1.045,0.965,5,"0.856,0.939,1.039,0.948,1.045"
833da4872,2026-02-17T05:19:44,test_swap_loading_time[wallet_load_alex_user],passed,0.971,2.564,1.318,5,"2.564,1.087,0.977,0.971,0.993"
833da4872,2026-02-17T05:19:44,test_wallet_loading_time[wallet_load_user],passed,0.616,0.914,0.784,5,"0.616,0.792,0.767,0.914,0.832"
833da4872,2026-02-17T05:19:44,test_swap_loading_time[wallet_load_user],passed,0.685,1.97,0.967,5,"1.97,0.73,0.715,0.734,0.685"
833da4872,2026-02-17T05:19:44,test_wallet_loading_time[wallet_load_alex_user],passed,0.895,1.212,1.1,5,"1.212,1.206,1.136,1.053,0.895"
6efc8a806,2026-02-19T05:21:36,test_swap_loading_time[wallet_load_user],passed,0.711,2.273,1.07,5,"2.273,0.747,0.711,0.874,0.747"
6efc8a806,2026-02-19T05:21:36,test_wallet_loading_time[wallet_load_alex_user],passed,0.865,1.198,1.028,5,"1.198,1.015,1.11,0.954,0.865"
6efc8a806,2026-02-19T05:21:36,test_swap_loading_time[wallet_load_alex_user],passed,0.983,3.479,1.503,5,"3.479,0.998,1.03,0.983,1.023"
6efc8a806,2026-02-19T05:21:36,test_wallet_loading_time[wallet_load_user],passed,0.749,1.17,0.951,5,"0.749,0.879,0.912,1.046,1.17"
2fb89c597,2026-02-20T05:17:20,test_swap_loading_time[wallet_load_user],passed,0.641,1.959,0.934,5,"1.959,0.748,0.659,0.641,0.664"
2fb89c597,2026-02-20T05:17:20,test_swap_loading_time[wallet_load_alex_user],passed,0.795,2.561,1.24,5,"2.561,0.936,0.929,0.976,0.795"
2fb89c597,2026-02-20T05:17:20,test_wallet_loading_time[wallet_load_alex_user],passed,0.997,1.304,1.17,5,"1.304,1.187,1.266,1.095,0.997"
